epoch,train_loss,test_accuracy,test_loss
0,1.0915272873393786,0.3741988836055406,5264.9692811521345
1,1.0902167206432427,0.3741988836055406,5273.727972429469
2,1.0893193119939828,0.4153400868306802,5249.073193170702
3,1.0847575856206544,0.3744056233202398,5254.3936464511635
4,1.0571793393264544,0.4595823857763076,5081.258320824762
5,1.0086481691598004,0.4992764109985528,4900.666230507985
6,0.9711531619811401,0.48253049410791815,4897.203961054402
7,0.9486097910100406,0.48211701467851975,4934.134239658458
8,0.9233789390626514,0.4757080835228447,4998.749862225649
9,0.8931393952474874,0.5017572875749432,5130.053409453903
10,0.8432887985883067,0.48873268554889393,5276.6563340074035
11,0.810112697530832,0.4916270415546827,5326.000778275813
12,0.7748449605119109,0.5114740541658053,5749.907056458263
13,0.7492557768997197,0.47426090551995037,6816.749859250618
14,0.7257146095285492,0.49410791813107297,5309.164089010058
15,0.694901609996257,0.4804630969609262,5682.443087347651
16,0.6784584509072938,0.49452139756047137,5972.30984285342
17,0.651464600301567,0.4874922472606988,5937.3249713669475
18,0.639177421409393,0.501550547860244,6704.70185417408
19,0.636872626195692,0.4796361381021294,5834.016238347102
20,0.6235509823303482,0.47736200124043826,6390.689095775419
21,0.6076682390759226,0.49452139756047137,5954.0449552420305
22,0.5892364311468455,0.46495761835848665,6288.747270796766
23,0.5899710524856638,0.48604506925780444,6133.712718045944
24,0.5853767334212416,0.4922472606987802,6804.260157176041
25,0.5823680067625806,0.4908000826958859,7271.203385858068
26,0.5956359040972219,0.5230514781889601,6312.749106018343
27,0.5738476243635903,0.49452139756047137,7091.107499314953
28,0.5676012516623903,0.5011370684308456,5573.90561787391
29,0.5702901848920431,0.4932809592722762,6114.994654304372
30,0.577096385429335,0.49410791813107297,6811.09451487024
31,0.5822112933799893,0.46247674178209636,6964.1896753870815
32,0.5895005279622763,0.48997312383708913,5987.133857285531
33,0.5735195888535098,0.4996898904279512,6352.10726004197
34,0.604813189250793,0.5147818896009924,5913.844773042624
35,0.600244086276448,0.5135414513127972,6369.682620801013
36,0.5972551934696249,0.4806698366756254,6774.344874111201
37,0.5996976342559623,0.49431465784577217,6368.286831153406
38,0.6020212914227203,0.492040520984081,6876.544107216489
39,0.6243882127512473,0.4970022741368617,6488.022953284169
40,0.6201842373124623,0.4556543311970229,7557.3928773616335
41,0.6162062129511794,0.49410791813107297,6556.522561485368
42,0.6104429954211744,0.49803597271035766,6676.610025304314
43,0.6356084368073366,0.499483150713252,6650.596244163478
44,0.6266793228275542,0.48604506925780444,5980.678497377891
45,0.646163985700304,0.487698986975398,5614.857616257942
46,0.6766127948418353,0.5023775067190407,6423.470088008798
47,0.6827944222179425,0.5048583832954311,6451.810532411632
48,0.6953920658472741,0.51540210874509,6055.816601103727
49,0.6478384106767849,0.4910068224105851,5616.5392267262
